wiki_movie_id,freebase_movie_id,movie_name,movie_release_date,movie_box_office_revenue,movie_runtime,movie_languages,movie_countries,movie_genres,release_year,revenue,budget,imdb_id,combined_revenue,release_month,release_day,primaryTitle,startYear,averageRating,numVotes,director,inflated_revenue,inflated_budget
975900,/m/03vyhn,Ghosts of Mars,2001-08-24,14010832.0,98.0,"[('/m/02h40lc', 'English Language')]","[('/m/09c7w0', 'United States of America')]","[('/m/01jfsb', 'Thriller'), ('/m/06n90', 'Science Fiction'), ('/m/03npn', 'Horror'), ('/m/03k9fj', 'Adventure'), ('/m/0fdjb', 'Supernatural'), ('/m/02kdv5l', 'Action'), ('/m/09zvmj', 'Space western')]",2001.0,14010832.0,28000000.0,tt0228333,14010832.0,8.0,24.0,Ghosts of Mars,2001.0,4.9,58868.0,John Carpenter,18991152.62215361,37952940.512048185
10408933,/m/02qc0j7,Alexander's Ragtime Band,1938-08-16,3600000.0,106.0,"[('/m/02h40lc', 'English Language')]","[('/m/09c7w0', 'United States of America')]","[('/m/04t36', 'Musical'), ('/m/01z4y', 'Comedy'), ('/m/01g6gs', 'Black-and-white')]",1938.0,4000000.0,2000000.0,tt0029852,3600000.0,8.0,16.0,Alexander's Ragtime Band,1938.0,6.8,2357.0,Henry King,61314663.51271436,34063701.95150798
171005,/m/016ywb,Henry V,1989-11-08,10161099.0,137.0,"[('/m/02h40lc', 'English Language')]","[('/m/07ssc', 'United Kingdom')]","[('/m/04xvh5', 'Costume drama'), ('/m/082gq', 'War film'), ('/m/06l3bl', 'Epic'), ('/m/04xvlr', 'Period piece'), ('/m/07s9rl0', 'Drama'), ('/m/060__y', 'Film adaptation')]",1989.0,,9000000.0,tt0097499,10161099.0,11.0,8.0,Henry V,1989.0,7.5,32088.0,Kenneth Branagh,19672518.805131756,17424559.021242272
77856,/m/0kcn7,Mary Poppins,1964-08-27,102272727.0,139.0,"[('/m/02h40lc', 'English Language')]","[('/m/09c7w0', 'United States of America')]","[('/m/0hj3myq', ""Children's/Family""), ('/m/04t36', 'Musical'), ('/m/01hmnh', 'Fantasy'), ('/m/01z4y', 'Comedy'), ('/m/07s9rl0', 'Drama'), ('/m/0hqxf', 'Family Film'), ('/m/0hj3myc', ""Children's Fantasy"")]",1964.0,102272727.0,6000000.0,tt0058331,102272727.0,8.0,27.0,Mary Poppins,1964.0,7.8,189183.0,Robert Stevenson,791387020.9954916,46428038.68887695
612710,/m/02wjqm,New Rose Hotel,1999-10-01,21521.0,92.0,"[('/m/02h40lc', 'English Language')]","[('/m/09c7w0', 'United States of America')]","[('/m/01jfsb', 'Thriller'), ('/m/06n90', 'Science Fiction'), ('/m/0279xh5', 'Future noir'), ('/m/0219x_', 'Indie'), ('/m/0glj9q', 'Erotic thriller'), ('/m/01hmnh', 'Fantasy'), ('/m/060__y', 'Film adaptation'), ('/m/07s9rl0', 'Drama')]",1999.0,,,,21521.0,10.0,1.0,,,0.0,0.0,Unknown,31008.219923958168,
156558,/m/014k4y,Baby Boy,2001-06-27,29381649.0,123.0,"[('/m/02h40lc', 'English Language')]","[('/m/09c7w0', 'United States of America')]","[('/m/0lsxr', 'Crime Fiction'), ('/m/07s9rl0', 'Drama'), ('/m/01j1n2', 'Coming of age')]",2001.0,29381649.0,16000000.0,tt0255819,29381649.0,6.0,27.0,Baby Boy,2001.0,6.5,17104.0,John Singleton,39825713.45153143,21687394.57831325
1364293,/m/04wy0v,They Knew What They Wanted,1940-01-01,932000.0,96.0,"[('/m/02h40lc', 'English Language')]","[('/m/09c7w0', 'United States of America')]","[('/m/02l7c8', 'Romance Film'), ('/m/0hj3nbk', 'Marriage Drama'), ('/m/07s9rl0', 'Drama'), ('/m/01g6gs', 'Black-and-white')]",1940.0,,,tt0033150,932000.0,1.0,1.0,They Knew What They Wanted,1940.0,6.0,505.0,Garson Kanin,15968115.121951219,
261237,/m/01mrrd,The Gods Must Be Crazy,1980-01-01,34331783.0,109.0,"[('/m/0x82', 'Afrikaans Language'), ('/m/02h40lc', 'English Language')]","[('/m/0hzlz', 'South Africa')]","[('/m/03k9fj', 'Adventure'), ('/m/03btsm8', 'Action/Adventure'), ('/m/0219x_', 'Indie'), ('/m/03q4nz', 'World cinema'), ('/m/01q03', 'Cult'), ('/m/0hj3msd', 'Adventure Comedy'), ('/m/01z4y', 'Comedy'), ('/m/09q17', 'Slapstick')]",1980.0,60000000.0,5000000.0,tt0080801,34331783.0,1.0,1.0,The Gods Must Be Crazy,1980.0,7.3,60389.0,Jamie Uys,99988358.35103448,14562068.965517242
12008535,/m/02vlsqt,Rudo y Cursi,2008-01-01,11091868.0,103.0,"[('/m/06nm1', 'Spanish Language')]","[('/m/0b90_r', 'Mexico'), ('/m/09c7w0', 'United States of America')]","[('/m/01z02hx', 'Sports'), ('/m/07s9rl0', 'Drama'), ('/m/02h8pkk', 'Family Drama'), ('/m/01t_vv', 'Comedy-drama'), ('/m/01z4y', 'Comedy')]",2008.0,,,,11091868.0,1.0,1.0,,,0.0,0.0,Unknown,12364593.12697561,
4951456,/m/0cws46,Kinjite: Forbidden Subjects,1989-01-01,3416846.0,97.0,"[('/m/02h40lc', 'English Language')]","[('/m/09c7w0', 'United States of America')]","[('/m/0lsxr', 'Crime Fiction'), ('/m/03btsm8', 'Action/Adventure'), ('/m/02kdv5l', 'Action'), ('/m/01jfsb', 'Thriller')]",1989.0,,,tt0097670,3416846.0,1.0,1.0,Kinjite: Forbidden Subjects,1989.0,5.5,3981.0,J. Lee Thompson,6615226.088166174,
